Rank,2 or less,Over 2,Over 3,Over 4,Over 6,Over 8,Over 10,Over 12,Over 14,Over 16,Over 18,Over 20,Over 22,Over 24,Over 26,Over 28,Over 30,Over 32,Over 34,Over 36,Over 38,Over 40
O-10,,,,,,,,,,,,"$16,441.80","$16,441.80","$16,441.80","$16,441.80","$16,441.80","$16,441.80","$16,441.80","$16,441.80","$16,441.80","$16,441.80","$16,441.80"
O-9,,,,,,,,,,,,"$15,546.00","$15,770.70","$16,094.10","$16,441.80","$16,441.80","$16,441.80","$16,441.80","$16,441.80","$16,441.80","$16,441.80","$16,441.80"
O-8,"$10,999.50","$11,360.40","$11,599.50","$11,666.10","$11,964.60","$12,462.90","$12,579.00","$13,052.10","$13,188.30","$13,596.00","$14,186.10","$14,730.00","$15,093.30","$15,093.30","$15,093.30","$15,093.30","$15,471.30","$15,471.30","$15,857.40","$15,857.40","$15,857.40","$15,857.40"
O-7,"$9,140.10","$9,564.60","$9,761.10","$9,917.40","$10,200.00","$10,479.60","$10,802.70","$11,124.60","$11,447.70","$12,462.70","$13,319.70","$13,319.70","$13,319.70","$13,319.70","$13,388.10","$13,388.10","$13,656.00","$13,656.00","$13,656.00","$13,656.00","$13,656.00","$13,656.00"
O-6,"$6,931.20","$7,614.60","$8,114.40","$8,114.10","$8,145.30","$8,494.50","$8,540.70","$8,540.70","$9,025.80","$9,884.10","$10,387.50","$10,890.90","$11,177.40","$11,467.80","$12,030.00","$12,030.00","$12,270.30","$12,270.30","$12,270.30","$12,270.30","$12,270.30","$12,270.30"
O-5,"$5,778.00","$6,509.10","$6,959.40","$7,044.30","$7,325.70","$7,493.70","$7,863.60","$8,135.40","$8,486.10","$9,022.50","$9,277.50","$9,530.10","$9,816.60","$9,816.60","$9,816.60","$9,816.60","$9,816.60","$9,816.60","$9,816.60","$9,816.60","$9,816.60","$9,816.60"
O-4,"$4,985.40","$5,770.80","$6,156.30","$6,241.80","$6,599.10","$6,982.80","$7,460.40","$7,831.80","$8,089.80","$8,238.30","$8,324.10","$8,324.10","$8,324.10","$8,324.10","$8,324.10","$8,324.10","$8,324.10","$8,324.10","$8,324.10","$8,324.10","$8,324.10","$8,324.10"
O-3,"$4,383.30","$4,968.60","$5,362.50","$5,847.30","$6,127.80","$6,435.00","$6,633.90","$6,960.60","$7,131.30","$7,131.30","$7,131.30","$7,131.30","$7,131.30","$7,131.30","$7,131.30","$7,131.30","$7,131.30","$7,131.30","$7,131.30","$7,131.30","$7,131.30","$7,131.30"
O-2,"$3,787.50","$4,313.40","$4,967.70","$5,135.70","$5,241.30","$5,241.30","$5,241.30","$5,241.30","$5,241.30","$5,241.30","$5,241.30","$5,241.30","$5,241.30","$5,241.30","$5,241.30","$5,241.30","$5,241.30","$5,241.30","$5,241.30","$5,241.30","$5,241.30","$5,241.30"
O-1,"$3,287.10","$3,421.80","$4,136.40","$4,136.40","$4,136.40","$4,136.40","$4,136.40","$4,136.40","$4,136.40","$4,136.40","$4,136.40","$4,136.40","$4,136.40","$4,136.40","$4,136.40","$4,136.40","$4,136.40","$4,136.40","$4,136.40","$4,136.40","$4,136.40","$4,136.40"
O-3E,,,,"$5,847.30","$6,127.80","$6,435.00","$6,633.90","$6,960.60","$7,236.30","$7,395.00","$7,610.70","$7,610.70","$7,610.70","$7,610.70","$7,610.70","$7,610.70","$7,610.70","$7,610.70","$7,610.70","$7,610.70","$7,610.70","$7,610.70"
O-2E,,,,"$5,135.70","$5,241.30","$5,408.10","$5,689.80","$5,907.60","$6,069.60","$6,069.60","$6,069.60","$6,069.60","$6,069.60","$6,069.60","$6,069.60","$6,069.60","$6,069.60","$6,069.60","$6,069.60","$6,069.60","$6,069.60","$6,069.60"
O-1E,,,,"$4,136.40","$4,416.90","$4,580.10","$4,747.20","$4,911.00","$5,135.70","$5,135.70","$5,135.70","$5,135.70","$5,135.70","$5,135.70","$5,135.70","$5,135.70","$5,135.70","$5,135.70","$5,135.70","$5,135.70","$5,135.70","$5,135.70"
W-5,,,,,,,,,,,,"$8,054.70","$8,463.00","$8,767.50","$9,104.10","$9,104.10","$9,560.10","$9,560.10","$10,037.40","$10,037.40","$10,540.20","$10,540.20"
W-4,"$4,530.00","$4,872.60","$5,012.40","$5,150.10","$5,387.10","$5,621.70","$5,859.30","$6,216.00","$6,529.20","$6,827.10","$7,071.30","$7,309.20","$7,658.40","$7,945.20","$8,272.80","$8,272.80","$8,437.80","$8,437.80","$8,437.80","$8,437.80","$8,437.80","$8,437.80"
W-3,"$4,137.00","$4,309.20","$4,486.20","$4,544.10","$4,728.90","$5,093.70","$5,473.20","$5,652.00","$5,859.00","$6,071.70","$6,455.10","$6,713.70","$6,868.20","$7,032.60","$7,256.70","$7,256.70","$7,256.70","$7,256.70","$7,256.70","$7,256.70","$7,256.70","$7,256.70"
W-2,"$3,660.60","$4,006.80","$4,113.30","$4,186.50","$4,423.80","$4,792.80","$4,975.80","$5,155.50","$5,375.70","$5,547.90","$5,703.60","$5,890.20","$6,012.90","$6,109.80","$6,109.80","$6,109.80","$6,109.80","$6,109.80","$6,109.80","$6,109.80","$6,109.80","$6,109.80"
W-1,"$3,213.00","$3,559.20","$3,651.90","$3,848.40","$4,080.60","$4,423.20","$4,582.80","$4,806.60","$5,026.50","$5,199.60","$5,358.60","$5,552.10","$5,552.10","$5,552.10","$5,552.10","$5,552.10","$5,552.10","$5,552.10","$5,552.10","$5,552.10","$5,552.10","$5,552.10"
E-9,,,,,,,"$5,472.90","$5,596.80","$5,753.40","$5,936.70","$6,123.00","$6,419.40","$6,671.40","$6,935.10","$7,340.10","$7,340.10","$7,706.40","$7,706.40","$8,092.20","$8,092.20","$8,497.50","$8,497.50"
E-8,,,,,,"$4,480.20","$4,678.20","$4,800.90","$4,947.60","$5,107.20","$5,394.60","$5,540.10","$5,787.90","$5,925.60","$6,264.00","$6,264.00","$6,389.70","$6,389.70","$6,389.70","$6,389.70","$6,389.70","$6,389.70"
E-7,"$3,114.30","$3,399.00","$3,529.50","$3,701.40","$3,836.10","$4,069.40","$4,197.90","$4,428.90","$4,621.50","$4,752.60","$4,892.40","$4,946.40","$5,128.50","$5,226.00","$5,597.40","$5,597.40","$5,597.40","$5,597.40","$5,597.40","$5,597.40","$5,597.40","$5,597.40"
E-6,"$2,693.70","$2,964.30","$3,095.10","$3,222.30","$3,354.90","$3,653.10","$3,769.80","$3,994.80","$4,063.50","$4,113.60","$4,172.10","$4,172.10","$4,172.10","$4,172.10","$4,172.10","$4,172.10","$4,172.10","$4,172.10","$4,172.10","$4,172.10","$4,172.10","$4,172.10"
E-5,"$2,467.50","$2,634.00","$2,761.20","$2,891.40","$3,054.50","$3,306.30","$3,480.90","$3,501.90","$3,501.90","$3,501.90","$3,501.90","$3,501.90","$3,501.90","$3,501.90","$3,501.90","$3,501.90","$3,501.90","$3,501.90","$3,501.90","$3,501.90","$3,501.90","$3,501.90"
E-4,"$2,262.60","$2,378.40","$2,507.10","$2,634.60","$2,746.50","$2,746.50","$2,746.50","$2,746.50","$2,746.50","$2,746.50","$2,746.50","$2,746.50","$2,746.50","$2,746.50","$2,746.50","$2,746.50","$2,746.50","$2,746.50","$2,746.50","$2,746.50","$2,746.50","$2,746.50"
E-3,"$2,042.70","$2,171.70","$2,302.80","$2,302.80","$2,302.80","$2,302.80","$2,302.80","$2,302.80","$2,302.80","$2,302.80","$2,302.80","$2,302.80","$2,302.80","$2,302.80","$2,302.80","$2,302.80","$2,302.80","$2,302.80","$2,302.80","$2,302.80","$2,302.80","$2,302.80"
E-2,"$1,942.50","$1,942.50","$1,942.50","$1,942.50","$1,942.50","$1,942.50","$1,942.50","$1,942.50","$1,942.50","$1,942.50","$1,942.50","$1,942.50","$1,942.50","$1,942.50","$1,942.50","$1,942.50","$1,942.50","$1,942.50","$1,942.50","$1,942.50","$1,942.50","$1,942.50"
E-1,"$1,902.30","$1,902.30","$1,902.30","$1,902.30","$1,902.30","$1,902.30","$1,902.30","$1,902.30","$1,902.30","$1,902.30","$1,902.30","$1,902.30","$1,902.30","$1,902.30","$1,902.30","$1,902.30","$1,902.30","$1,902.30","$1,902.30","$1,902.30","$1,902.30","$1,902.30"
E1 <4mos,"$1,150.50",,,,,,,,,,,,,,,,,,,,,
