Rank,2 or less,Over 2,Over 3,Over 4,Over 6,Over 8,Over 10,Over 12,Over 14,Over 16,Over 18,Over 20,Over 22,Over 24,Over 26,Over 28,Over 30,Over 32,Over 34,Over 36,Over 38,Over 40
O-10,,,,,,,,,,,,"$16,608.30","$16,608.30","$16,608.30","$16,608.30","$16,608.30","$16,608.30","$16,608.30","$16,608.30","$16,608.30","$16,608.30","$16,608.30"
O-9,,,,,,,,,,,,"$16,012.50","$16,243.80","$16,576.80","$16,608.30","$16,608.30","$16,608.30","$16,608.30","$16,608.30","$16,608.30","$16,608.30","$16,608.30"
O-8,"$11,329.50","$11,701.20","$11,947.50","$12,016.20","$12,323.40","$12,836.70","$12,956.40","$13,443.60","$13,584.00","$14,004.00","$14,611.80","$15,171.90","$15,546.00","$15,546.00","$15,546.00","$15,546.00","$15,935.40","$15,935.40","$16,333.20","$16,333.20","$16,333.20","$16,333.20"
O-7,"$9,414.30","$9,851.40","$10,053.90","$10,215.00","$10,506.00","$10,794.00","$11,126.70","$11,458.20","$11,791.20","$12,836.70","$13,719.30","$13,719.30","$13,719.30","$13,719.30","$13,789.80","$13,789.80","$14,065.80","$14,065.80","$14,065.80","$14,065.80","$14,065.80","$14,065.80"
O-6,"$7,139.10","$7,842.90","$8,357.70","$8,357.70","$8,389.80","$8,749.20","$8,796.90","$8,796.90","$9,296.70","$10,180.50","$10,699.20","$11,217.60","$11,512.80","$11,811.90","$12,390.90","$12,390.90","$12,638.40","$12,638.40","$12,638.40","$12,638.40","$12,638.40","$12,638.40"
O-5,"$5,951.40","$6,704.40","$7,168.20","$7,255.50","$7,545.60","$7,718.40","$8,099.40","$8,379.60","$8,740.80","$9,293.10","$9,555.90","$9,816.00","$10,111.20","$10,111.20","$10,111.20","$10,111.20","$10,111.20","$10,111.20","$10,111.20","$10,111.20","$10,111.20","$10,111.20"
O-4,"$5,135.10","$5,943.90","$6,341.10","$6,429.00","$6,797.10","$7,192.20","$7,684.20","$8,066.70","$8,332.50","$8,485.50","$8,573.70","$8,573.70","$8,573.70","$8,573.70","$8,573.70","$8,573.70","$8,573.70","$8,573.70","$8,573.70","$8,573.70","$8,573.70","$8,573.70"
O-3,"$4,514.70","$5,117.70","$5,523.30","$6,022.80","$6,311.70","$6,628.20","$6,832.80","$7,169.40","$7,345.20","$7,345.20","$7,345.20","$7,345.20","$7,345.20","$7,345.20","$7,345.20","$7,345.20","$7,345.20","$7,345.20","$7,345.20","$7,345.20","$7,345.20","$7,345.20"
O-2,"$3,901.20","$4,442.70","$5,116.80","$5,289.90","$5,398.50","$5,398.50","$5,398.50","$5,398.50","$5,398.50","$5,398.50","$5,398.50","$5,398.50","$5,398.50","$5,398.50","$5,398.50","$5,398.50","$5,398.50","$5,398.50","$5,398.50","$5,398.50","$5,398.50","$5,398.50"
O-1,"$3,395.80","$3,524.40","$4,260.60","$4,260.60","$4,260.60","$4,260.60","$4,260.60","$4,260.60","$4,260.60","$4,260.60","$4,260.60","$4,260.60","$4,260.60","$4,260.60","$4,260.60","$4,260.60","$4,260.60","$4,260.60","$4,260.60","$4,260.60","$4,260.60","$4,260.60"
O-3E,,,,"$6,022.80","$6,311.70","$6,628.20","$6,832.80","$7,169.40","$7,456.50","$7,617.00","$7,839.00","$7,839.00","$7,839.00","$7,839.00","$7,839.00","$7,839.00","$7,839.00","$7,839.00","$7,839.00","$7,839.00","$7,839.00","$7,839.00"
